,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
3331,2019-1396,2019-05-29,1,Vente,173000.0,5232.0,LA MADELEINE SUD EST,B180,1750.0,01320,Replonges,01,01320000AM0051,0,3.0,Dépendance,,0.0,S,sols,427.0,4.871452,46.301434
3332,2019-1396,2019-05-29,1,Vente,173000.0,5232.0,LA MADELEINE SUD EST,B180,1750.0,01320,Replonges,01,01320000AM0051,0,2.0,Appartement,62.0,2.0,S,sols,427.0,4.871452,46.301434
3333,2019-1396,2019-05-29,1,Vente,173000.0,5232.0,LA MADELEINE SUD EST,B180,1750.0,01320,Replonges,01,01320000AM0051,0,2.0,Appartement,74.0,3.0,S,sols,427.0,4.871452,46.301434
3334,2019-1397,2019-05-29,1,Vente,221260.0,6178.0,L ECHAILLON,B100,1750.0,01320,Replonges,01,01320000AE0070,0,1.0,Maison,88.0,4.0,S,sols,800.0,4.881981,46.305596
3335,2019-1398,2019-05-23,1,Vente,130000.0,20.0,RTE DE GENEVE,0100,1160.0,01304,Pont-d'Ain,01,01304000AE0382,0,1.0,Maison,90.0,4.0,S,sols,618.0,5.348501,46.054207
3336,2019-1399,2019-05-14,1,Vente,20000.0,,AUX DOUVRES,B021,1240.0,01069,Certines,01,01069000ZH0303,0,,,,,S,sols,1076.0,5.2818,46.143504
3337,2019-1399,2019-05-14,1,Vente,20000.0,,LA PETITE VAVRETTE,B102,1250.0,01422,Tossiat,01,01422000ZB0115,0,,,,,P,prés,4.0,5.281623,46.143243
3339,2019-1401,2019-05-28,1,Vente,207500.0,81.0,RTE DES GERBETS,0290,1380.0,01025,Bâgé-Dommartin,01,010250000H1080,0,1.0,Maison,115.0,5.0,S,sols,1266.0,4.945897,46.311864
3342,2019-1403,2019-05-16,1,Vente,195800.0,6.0,LOT LOTISSEMENT LA CROIX,A003,1240.0,01145,Dompierre-sur-Veyle,01,011450000F1249,0,1.0,Maison,100.0,4.0,S,sols,1064.0,5.205696,46.069395
3343,2019-1404,2019-05-16,1,Vente,78000.0,,LA VIERGE,B102,1240.0,01211,Lent,01,012110000D0580,0,,,,,AB,terrains a bâtir,552.0,5.191386,46.115359
3347,2019-1406,2019-05-09,1,Vente,202000.0,5307.0,LE GRAND VERNAY,B067,1310.0,01301,Polliat,01,01301000ZM0025,0,1.0,Maison,120.0,4.0,S,sols,3432.0,5.115596,46.237899
3348,2019-1406,2019-05-09,1,Vente,202000.0,5307.0,LE GRAND VERNAY,B067,1310.0,01301,Polliat,01,01301000ZM0025,0,1.0,Maison,24.0,1.0,S,sols,3432.0,5.115596,46.237899
3350,2019-1408,2019-05-07,1,Vente,236180.0,,MONTERNOZ,B021,1960.0,01289,Péronnas,01,012890000A1587,0,,,,,BS,taillis sous futaie,305.0,5.193477,46.170941
3351,2019-1408,2019-05-07,1,Vente,236180.0,409.0,RTE DE ST ANDRE SUR VIEUX JONC,0375,1960.0,01289,Péronnas,01,012890000A2074,0,1.0,Maison,103.0,4.0,AG,terrains d'agrément,648.0,5.193872,46.171098
3352,2019-1408,2019-05-07,1,Vente,236180.0,409.0,RTE DE ST ANDRE SUR VIEUX JONC,0375,1960.0,01289,Péronnas,01,012890000A2074,0,1.0,Maison,103.0,4.0,S,sols,1000.0,5.193872,46.171098
3353,2019-1409,2019-05-16,1,Vente,400000.0,,CLOS DE LA VERCHERE,B009,1190.0,01305,Pont-de-Vaux,01,01305000AE0323,0,,,,,T,terres,112.0,4.943229,46.433958
3354,2019-1409,2019-05-16,1,Vente,400000.0,,CLOS DE LA VERCHERE,B009,1190.0,01305,Pont-de-Vaux,01,01305000AE0325,0,,,,,T,terres,12263.0,4.94274,46.433672
3355,2019-1410,2019-05-21,2,Vente,830.0,,LE GRAND FAUBOURG,B020,1190.0,01305,Pont-de-Vaux,01,01305000AC0263,0,,,,,J,jardins,83.0,4.940709,46.436408
3356,2019-1411,2019-06-05,1,Vente,170000.0,69.0,AV JEAN JAURES,1970,1000.0,01053,Bourg-en-Bresse,01,01053000AM0179,0,4.0,Local industriel. commercial ou assimilé,70.0,0.0,S,sols,535.0,5.216636,46.196688
3359,2019-1413,2019-05-22,2,Echange,5000.0,,LA RUAZ,B255,1160.0,01151,Druillat,01,011510000D0573,0,,,,,P,prés,25420.0,5.275187,46.080997
3360,2019-1413,2019-05-22,3,Echange,5000.0,,LE PELLOUX,B168,1160.0,01151,Druillat,01,011510000D0292,0,,,,,P,prés,9067.0,5.274134,46.08007
3361,2019-1413,2019-05-22,3,Echange,5000.0,,LE PELLOUX,B168,1160.0,01151,Druillat,01,011510000D0572,0,,,,,P,prés,3713.0,5.27437,46.079546
3362,2019-1413,2019-05-22,3,Echange,5000.0,,LE PELLOUX,B168,1160.0,01151,Druillat,01,011510000D0639,0,,,,,T,terres,9804.0,5.273037,46.080352
3363,2019-1413,2019-05-22,3,Echange,5000.0,,LE PELLOUX,B168,1160.0,01151,Druillat,01,011510000D0641,0,,,,,P,prés,2835.0,5.273943,46.080581
3364,2019-1414,2019-05-14,1,Vente,2875.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0081,0,,,,,P,prés,9137.0,5.0433,46.303471
3365,2019-1414,2019-05-14,1,Vente,2875.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0082,0,,,,,P,prés,133.0,5.042934,46.303472
3366,2019-1415,2019-05-15,1,Vente,1.0,,LUIZE,B059,1310.0,01259,Montcet,01,012590000B0536,0,,,,,S,sols,764.0,5.121039,46.220471
3367,2019-1416,2019-05-15,1,Vente,1834.5,,PRES DE MONTCET,B091,1310.0,01259,Montcet,01,012590000A0596,0,,,,,P,prés,7338.0,5.106913,46.22919
3373,2019-1418,2019-06-05,1,Vente,205000.0,199.0,CHE DE CHAMP JACQUET,0231,1440.0,01451,Viriat,01,014510000C0568,0,1.0,Maison,79.0,3.0,S,sols,1279.0,5.236392,46.270361
3374,2019-1418,2019-06-05,1,Vente,205000.0,199.0,CHE DE CHAMP JACQUET,0231,1440.0,01451,Viriat,01,014510000C0568,0,1.0,Maison,79.0,3.0,J,jardins,726.0,5.236392,46.270361
3375,2019-1418,2019-06-05,1,Vente,205000.0,,CHAMP JACQUET,B062,1440.0,01451,Viriat,01,014510000C0800,0,,,,,P,prés,288.0,5.236094,46.270308
3377,2019-1420,2019-06-03,1,Vente,171428.0,1.0,RUE DES FOUGERES,1550,1000.0,01053,Bourg-en-Bresse,01,01053000BH0086,0,2.0,Appartement,96.0,5.0,S,sols,913.0,5.241328,46.207774
3378,2019-1420,2019-06-03,1,Vente,171428.0,1.0,RUE DES FOUGERES,1550,1000.0,01053,Bourg-en-Bresse,01,01053000BH0086,0,2.0,Appartement,10.0,1.0,S,sols,913.0,5.241328,46.207774
3379,2019-1420,2019-06-03,1,Vente,171428.0,1.0,RUE DES FOUGERES,1550,1000.0,01053,Bourg-en-Bresse,01,01053000BH0086,0,2.0,Appartement,47.0,1.0,S,sols,913.0,5.241328,46.207774
3380,2019-1421,2019-04-26,1,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0452,0,,,,,AB,terrains a bâtir,1954.0,5.109096,46.207215
3381,2019-1421,2019-04-26,1,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0456,0,,,,,AB,terrains a bâtir,401.0,5.109037,46.207656
3382,2019-1421,2019-04-26,2,Vente,104000.0,,DES RUAIS,B105,1310.0,01259,Montcet,01,012590000C0010,0,,,,,P,prés,8768.0,5.120801,46.207729
3383,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0105,0,,,,,P,prés,12848.0,5.108099,46.205539
3384,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0110,0,,,,,T,terres,7076.0,5.108654,46.206548
3385,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0111,0,,,,,T,terres,3900.0,5.107874,46.206566
3386,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0113,0,,,,,T,terres,10292.0,5.108387,46.207304
3387,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0117,0,,,,,BS,taillis sous futaie,2550.0,5.109552,46.206876
3388,2019-1421,2019-04-26,2,Vente,104000.0,,RIPPES DES LYS,B101,1310.0,01259,Montcet,01,012590000C0118,0,,,,,T,terres,3300.0,5.109965,46.206589
3389,2019-1421,2019-04-26,2,Vente,104000.0,,LES PLATIERES,B079,1310.0,01259,Montcet,01,012590000C0128,0,,,,,T,terres,8934.0,5.108107,46.208858
3390,2019-1421,2019-04-26,2,Vente,104000.0,,LES PLATIERES,B079,1310.0,01259,Montcet,01,012590000C0129,0,,,,,T,terres,2050.0,5.1079,46.209563
3391,2019-1421,2019-04-26,2,Vente,104000.0,,LES PLATIERES,B079,1310.0,01259,Montcet,01,012590000C0130,0,,,,,T,terres,4128.0,5.108009,46.20989
